id,refInterna,nome,concelho,estado,promotor,tipologias,conclusaoAno,conclusaoMes,preco_m2,precoPedido,link,_lat,_lng,isEmpreendimento
apa53217---meneres-777,,APA_53217 - MENÉRES 777,MATOSINHOS,em_construcao,MCAETANO,T1 a T4,2028,9,,,https://www.garveturproperties.com/detalhes-do-empreendimento/apartamentos-t2-a-t4-em-empreendimento-de-arquitetura-sofisticada-em-matosinhos-porto/23231296,41.179078,-8.68319,true
antas-prime,,ANTAS PRIME,PORTO,em_construcao,MÁRIO ALMEIDA,T1 a T4,2026,12,,,https://s.craft.me/XqY1fUXgJa1I53,41.16054183295912,-8.585580295037614,true
apa53418---vc-forte,,APA_53418 - VC FORTE,VILA DO CONDE,em_construcao,FERCOPOR,T0 / T1 / T2 / T3 / T4,2028,6,,,https://27006740.hs-sites-eu1.com/pt/fercopor-projetos-comercialização?utm_medium=email&_hsenc=p2ANqtz-9iwfACfUwXKwn2m6lP1DmD3CvsQv9ooX3B4mNDzj3xZ5JoX0FcIOp3n9v4GVcAdYrdsLavk_Ntc5BXqVCbdCUKEN_FJ7xSWxQ74ScOXBzQoLZmj2A&_hsmi=121601192&utm_content=121601192&utm_source=hs_email,41.34337951168891,-8.750900385790908,true
apa53412---foliage,,APA_53412 - FOLIAGE,PORTO,em_construcao,FERCOPOR,T2 / T3 / T4,2028,12,,,https://www.garveturproperties.com/detalhes-do-empreendimento/apartamentos-t1-a-t4-em-empreendimento-na-foz-porto/23409581,41.16061301566964,-8.673432579455456,true
apa53674---raiz,,APA_53674 - RAÍZ,PORTO,em_construcao,FERCOPOR,T1 / T2 / T3 / T4,2028,12,,,https://www.garveturproperties.com/detalhes-do-empreendimento/apartamentos-t1-a-t4-em-empreendimento-na-avenida-da-boavista-porto/24010217,41.16458988957599,-8.670498322071996,true
apa53551---the-avenue,,APA_53551 - THE AVENUE,PORTO,em_construcao,NORTH PROPERTIES,T2 | T3 | T4,2026,4,,,https://www.garveturproperties.com/imoveis?ref=APA_53551,41.16521362846466,-8.59755387983526,true
apa53570---the-view-i,,APA_53570 - THE VIEW I,GONDOMAR,em_construcao,NORTH PROPERTIES,T3 / T4,2027,8,,,https://www.garveturproperties.com/imoveis?ref=APA_53570,41.13823767440179,-8.570998603252303,true
apa52847---avenida-premium,,APA_52847 - AVENIDA PREMIUM,VILA NOVA DE GAIA,em_construcao,MS-Group,T2 | T3,2025,12,,,https://www.garveturproperties.com/detalhes-do-empreendimento/apartamentos-t1-a-t3-1-em-empreendimento-premium-em-excelente-localizacao-urbana-vila-nova-de-gaia/21695223,41.11687076428396,-8.60676265928301,true
apa53578---bosk,,APA_53578 - BOSK,GONDOMAR,licenciado,NORTH PROPERTIES,T2 / T3,2028,12,,,https://s.craft.me/3avl2BZlpAiF6t,41.13344697492787,-8.537099324342659,true
apa53396---gramoinhos,,APA_53396 - GRAMOINHOS,VILA NOVA DE GAIA,em_construcao,NOSSO CAPITAL,T1 / T2,2026,12,,,https://nossocapital.pt,41.108807119835845,-8.622940960507071,true
apa53387---madalena-vista-mar,,APA_53387 - MADALENA VISTA MAR,VILA NOVA DE GAIA,licenciado,NOSSO CAPITAL,T1 / T2 / T3,2029,12,,,https://nossocapital.pt,41.10759126658638,-8.654901852935241,true
herdade-de-vilar,,HERDADE DE VILAR,VILA NOVA DE GAIA,licenciado,CONSFLY,T0 / T1 / T2,2028,12,,,https://herdadevilar.com,41.08653343602931,-8.623769513683161,true
cas53524---foz-nature,,CAS_53524 - FOZ NATURE,PORTO,em_construcao,INSPIRED ORBIT,T3 / T4 / T5,2027,5,,,https://foznature.pt,41.15107803555791,-8.668082879521076,true
apa52854---the-breeze,,APA_52854 - THE BREEZE,VILA NOVA DE GAIA,em_construcao,CASTRO GROUP,T2 | T3,2026,3,,,https://www.thebreeze.pt,41.1238635424034,-8.665992065583229,true
apa52820---azuaga-68--ernesto-65,,APA_52820 - AZUAGA 68 / ERNESTO 65,VILA NOVA DE GAIA,em_construcao,RED DOT,T1 / T2,2026,7,,,https://www.garveturproperties.com/detalhes-do-empreendimento/apartamentos-t1-e-t2-junto-ao-rio-em-vila-nova-de-gaia/21686025,41.13685625316915,-8.606250889181755,true
cas52875---aurios,,CAS_52875 - AURIOS,PORTO,em_construcao,EMERGE,T3 / T4,2026,3,,,https://aurios.pt/pt/,41.14310044431507,-8.587978792886304,true
apa52784---douro-nobilis,,APA_52784 - DOURO NOBILIS,VILA NOVA DE GAIA,em_construcao,REVITO,T0 / T1 / T2 / T3 / T4,2026,3,,,https://www.garveturproperties.com/detalhes-do-imovel/apartamento-t4-duplex-em-empreendimento-com-vista-rio-em-vila-nova-de-gaia/21658603,41.13232098185415,-8.625137874362425,true
apa52936---douro-nobilis-ii,,APA_52936 - DOURO NOBILIS II,VILA NOVA DE GAIA,em_construcao,REVITO,T0 / T1 / T2 / T3 / T4,2026,12,,,https://www.garveturproperties.com/detalhes-do-imovel/apartamento-t4-duplex-com-vista-rio-em-vila-nova-de-gaia/22131069,41.13327451853728,-8.625116416690297,true
apa52701---essence,,APA_52701 - ESSENCE,PORTO,em_construcao,ALMA DEVLOPMENT,T1 / T2 / T3 / T4,2026,3,,,https://almadevelopment.pt/essence-porto/?utm_source=google&utm_medium=cpc&utm_campaign=ESSENCE%20-%20Max%20Desempenho%20PT&utm_id=20981436680&gad_source=1,41.15882699232601,-8.584600847512442,true
apa53307---nobel-41-85,,APA_53307 - NOBEL 41-85,PORTO,em_construcao,RISE GROUP,T2 | T3,2026,12,,,https://www.risegroup.pt/pt/empreendimentos/nobel-41-85_2/,41.16005727191822,-8.584020180438936,true
apa53572---living-park-vii,,APA_53572 - LIVING PARK VII,PAREDES,em_construcao,MCAETANO,T1 / T2 / T3 / T4,2028,4,,,https://grupomcaetano.pt,41.20736017061847,-8.324848699290392,true
apa52862---boss-garden,,APA_52862 - BOSS GARDEN,PORTO,em_construcao,ARANSA,T2 / T3,2027,6,,,https://aransahomes.pt,41.16772579295225,-8.618726745895463,true
hab53286---privilege-gaia,,HAB_53286 - PRIVILEGE GAIA,VILA NOVA DE GAIA,em_construcao,ARANSA,MORADIAS T3,2028,12,,,https://aransahomes.pt,41.064722587590055,-8.63734999653012,true
miramar-gardens,,MIRAMAR GARDENS,VILA NOVA DE GAIA,licenciado,ARANSA,T2 / T3 / T4,2028,12,,,https://aransahomes.pt,41.06470618334978,-8.636321968433883,true
apa53018---vintage-gardens,,APA_53018 - VINTAGE GARDENS,PORTO,em_construcao,SPINTOS,T1 / T1+1 / T2,2026,12,,,https://www.spintos.pt/inmobiliaria,41.17820021455164,-8.584611707573764,true
apa52719---riviera-river,,APA_52719 - RIVIERA RIVER,GONDOMAR,em_construcao,ESPELHO PLANETÁRIO LDA,T2 / T3,2026,3,,,https://s.craft.me/iNO9646UXPVakH,41.12686838810591,-8.54211516183474,true
apa53092---edificio-radical-i,,APA_53092 - EDIFÍCIO RADICAL I,VILA NOVA DE GAIA,em_construcao,,T2 / T3,2025,12,,,https://s.craft.me/PRE5LHE0vGG99k,41.1264522731553,-8.624792123365081,true
santa-aqua-living,,SANTA AQUA LIVING,MAIA,em_construcao,VIALFASA,T1 / T2 / T3,2027,12,,,https://s.craft.me/HZPgxxdg16ucHq,41.19786061423495,-8.580508013560049,true
gaia-hills,,GAIA HILLS,VILA NOVA DE GAIA,em_construcao,PROMIRIS E THOMAS & PIRON,T0 A T5,2027,12,,,https://www.gaiahills.pt/pt/,41.143201935062514,-8.632433431491977,true
gaia-lofts,,GAIA LOFTS,VILA NOVA DE GAIA,em_construcao,PARADISE PYRAMID,T1,2025,12,,,https://s.craft.me/hpGkqO55cEgrUs,41.1393426429201,-8.621594201230561,true
alum,,ALUM,MAIA,em_construcao,PLANO 3,T1 /  T2,2026,12,,,https://www.planoa3.pt/#tipologia,41.22759632184907,-8.616974227896442,true
madalena-vila-mar,,MADALENA VILA MAR,VILA NOVA DE GAIA,em_construcao,EDIMARIP / GRUPO 20,MORADIAS T4,2027,12,,,https://www.m2o.pt/pt/empreendimento/madalena-vila-mar/,41.10225645354176,-8.659719874444308,true
lurion,,LURION,VILA NOVA DE GAIA,em_construcao,REVITO,Apartamentos T0/T1/T2/T3/T4,2028,12,,,https://revito.pt,41.13389954884105,-8.598404376332649,true
splendouro-village,,SPLENDOURO VILLAGE,VILA NOVA DE GAIA,em_construcao,SHARP DEVELOPERS,MORADIAS  T4 / T5,2028,12,,,http://village.splendouro.com,41.13560172238032,-8.650198933924633,true
the-grand-splendouro,,THE GRAND  SPLENDOURO,VILA NOVA DE GAIA,em_construcao,SHARP DEVELOPERS,T2 / T3 / T4 / T5,2027,12,,,https://grand.splendouro.com,41.13309091751646,-8.667665860923389,true
splendouro-marina-houses,,SPLENDOURO MARINA HOUSES,VILA NOVA DE GAIA,concluido,SHARP DEVELOPERS,MORADIAS T4 / T5,2024,12,,,https://marina.splendouro.com,41.1392371320332,-8.648993889758607,true
living-sea,,LIVING SEA,VILA NOVA DE GAIA,em_construcao,MCAETANO,T2 / T3 /  T4 / T5,2026,12,,,https://grupomcaetano.pt/empreendimentos/living-sea/,41.135682386513,-8.667177096092528,true
ocean-living,,OCEAN LIVING,VILA NOVA DE GAIA,concluido,SHALU INVESTMENTS,T2 / T3 / T4,2024,12,,,https://theoceanliving.pt/pt-pt/,41.11538920308218,-8.662048712493501,true
living-prados,,LIVING PRADOS,MATOSINHOS,concluido,MCAETANO,T2 / T3 / T4,2023,12,,,https://grupomcaetano.pt/empreendimentos/living-prados/,41.17421816440439,-8.685720718592517,true
nautilus-iv,,NAUTILUS IV,MATOSINHOS,em_construcao,MCAETANO,T2 / T3 / T4,2026,12,,,https://grupomcaetano.pt/empreendimentos/nautilus-iv/,41.17395848527968,-8.683146172174458,true
panorama-douro-residences,,PANORAMA DOURO RESIDENCES,PORTO,concluido,MCAETANO,T2 / T3 / T4,2024,12,,,https://grupomcaetano.pt/empreendimentos/panorama-douro-residences/,41.149074155060326,-8.641353189072976,true
marina-douro,,MARINA DOURO,VILA NOVA DE GAIA,em_construcao,MCAETANO,T1 / T2 / T3 / T4 / T5,2026,12,,,https://marinadouro.com/disponibilidades/,41.14013042837216,-8.651654278112877,true
douro-atlantico-iii,,DOURO ATLÂNTICO III,VILA NOVA DE GAIA,concluido,MCAETANO,T2 / T3 / T4,2025,12,,,https://grupomcaetano.pt/empreendimentos/douro-atlantico-iii/,41.13499384759188,-8.667757170720947,true
sal-douro-ocean,,SAL DOURO OCEAN,Vila nova de Gaia,concluido,TAGA URBANIC,T1 / T2 / T3,2025,12,,,https://saldouro.com/collection/ocean/,41.134369107234086,-8.668771057960605,true
sal-douro-park,,SAL DOURO PARK,VILA NOVA DE GAIA,em_construcao,TAGA URBANIC,T1 / T2 / T3,2026,12,,,https://saldouro.com/collection/park/,41.13324589063327,-8.667773276265095,true
sal-douro-reserve,,SAL DOURO RESERVE,VILA NOVA DE GAIA,em_construcao,TAGA URBANIC,T1 / T2 / T3,2027,12,,,https://saldouro.com/collection/reserve/,41.134748895546885,-8.667912751125757,true
sal-douro-coast,,SAL DOURO COAST,VILA NOVA DE GAIA,em_construcao,TAGA URBANIC,T1 / T2 / T3,2027,12,,,https://saldouro.com/collection/coast/,41.13324589063327,-8.66776254742966,true
sal-douro-horizon,,SAL DOURO HORIZON,VILA NOVA DE GAIA,em_construcao,TAGA URBANIC,T1 / T2 / T3,2027,12,,,https://saldouro.com/collection/horizon/,41.13324589063327,-8.66776254742966,true
egas-moniz-209,,EGAS MONIZ 209,PORTO,em_construcao,P32 PROPERTIES,T1 / T2 / T3,2027,12,,,https://egasmoniz209.pt,41.16327642515784,-8.619225835041389,true
casas-alma,,CASAS ALMA,VILA NOVA DE GAIA,em_construcao,NORDEN,MORADIAS T3,2026,12,2850,,https://www.norden.pt/alma/#,41.07866875799975,-8.619647005820633,true
a-quadra,,A QUADRA,VILA NOVA DE GAIA,em_construcao,PROMIRIS,,2027,12,,,https://quadra-gaia.pt,41.13076744940458,-8.605106825709381,true
eleven,,ELEVEN,VILA NOVA DE GAIA,concluido,TAGA URBANIC,T1 / T2 / T3 / T4,2025,12,,,https://elevengaia.com,41.12894963725594,-8.60895888399385,true
cais-da-pescaria,,CAIS DA PESCARIA,VILA NOVA DE GAIA,em_construcao,ROYAL-VENTURES,T1,2027,12,,,https://royal-ventures.com/projects/pescaria-riverfront-vila-nova-de-gaia/,41.14178070487412,-8.624313874416748,true
rasa-503,,RASA 503,VILA NOVA DE GAIA,em_construcao,PLANO INCLINADO,T1 / T2 /  T3,2027,12,,,https://plano-inclinado.pt/projetos/rasa-503-vng,41.11820645430063,-8.610682674417696,true
serralves-239,,SERRALVES 239,PORTO,em_construcao,PLANO INCLINADO,T1/ T2 / T3 / T4,2027,12,,,https://plano-inclinado.pt/projetos/serralves-239,41.15524885709748,-8.65070278975788,true
land-roots-river,,LAND ROOTS RIVER,VILA NOVA DE GAIA,em_construcao,BE OPORTO GROUP,T2,2025,12,,,https://www.land-roots.com,41.13666037828811,-8.621066547429539,true
side-avenue,,SIDE AVENUE,VILA NOVA DE GAIA,em_construcao,CLEVEROPTION,T0 / T1 / T2,2027,12,,,https://cleveroption.pt/avenue/,41.12109124577433,-8.60884020325301,true
royal-green,,ROYAL GREEN,VILA NOVA DE GAIA,em_construcao,FOUR PARTNERS,T1 / T2,2026,12,,,https://royalgreentower.pt,41.11826078886197,-8.617716332158436,true
prestige-gaia,,PRESTIGE GAIA,VILA NOVA DE GAIA,em_construcao,FOUR PARTNERS,T1 / T2,2026,12,,,https://prestigegaia.pt,41.12621611065877,-8.63051265374531,true
fojo-residences,,FOJO RESIDENCES,VILA NOVA DE GAIA,em_construcao,GRUPO RIO,T1 / T2,2027,12,,,https://gruporio.pt/projeto/fojo/,41.1313715094334,-8.639502539030412,true
jardim-das-flores,,JARDIM DAS FLORES,VILA NOVA DE GAIA,licenciado,GRUPO RIO,T0 / T1 / T2,2030,12,,,https://gruporio.pt/projeto/jardim-das-flores/,41.10516809637983,-8.622132239790282,true
sao-dinis,,SÃO DINIS,PORTO,licenciado,GRUPO RIO,T0 / T1 / T2,2028,12,,,https://gruporio.pt/projeto/sao-dinis/,41.16785472488655,-8.619386774415608,true
sea-leca,,SEA LEÇA,MATOSINHOS,licenciado,GRUPO RIO,,2030,12,,,https://gruporio.pt/projeto/sea-leca/,41.18199770935888,-8.678189777553738,true
majestic-beach,,MAJESTIC BEACH,VILA NOVA DE GAIA,licenciado,,T1 7 T2 / T3,2027,12,,,https://www.idealista.pt/empreendimento/34259172/,41.12948907623479,-8.6665233835363,true
jardins-do-olival,,JARDINS DO OLIVAL,VILA NOVA DE GAIA,em_construcao,,,2026,12,,,,41.04568944537345,-8.504388544282502,true
edificio-serra-do-pilar-condominium,,EDIFICIO SERRA DO PILAR CONDOMÍNIUM,VILA NOVA DE GAIA,em_construcao,KOKYU PROPERTIES,T2 | T3,2026,12,,,https://kokyuproperties.com/pt/projects/serra-do-pilar/index.html,41.135148548757925,-8.606343233021903,true
edificio-genuino-sta-marinha,,EDIFICIO GENUÍNO STA MARINHA,VILA NOVA DE GAIA,concluido,GENUÍNO INVESTMENTS,T1 | T2 | T3,2025,12,,,https://genuinoinvestments.com/projeto/genuino-santa-marinha/,41.11885677314856,-8.632138615074714,true
